anio,mes,dia,hora,Hs,Tp,Dir
2024,1,1,0,2.0,10.0,280.0
2024,1,1,3,2.052482105457949,9.994475999924987,282.09928421831796
2024,1,1,6,2.104384388606925,9.977965028853605,284.175375544277
2024,1,1,9,2.1551334330149112,9.950649499996729,286.20533732059647
2024,1,1,12,2.2041685632316748,9.912831195321267,288.16674252926697
2024,1,1,15,2.250948039131224,9.864927931462947,290.03792156524895
2024,1,1,18,2.294955041056803,9.807468943688065,291.79820164227215
2024,1,1,21,2.3357033796445354,9.741089038902174,293.4281351857814
2024,1,2,0,2.372742867243591,9.666521582303309,294.9097146897436
2024,1,2,3,2.405664291589418,9.584590395163161,296.22657166357675
2024,1,2,6,2.434103936780905,9.496200653249549,297.36415747123624
2024,1,2,9,2.4577476016137103,9.402328886444392,298.3099040645484
2024,1,2,12,2.476334070875213,9.304012190041437,299.0533628350085
2024,1,2,15,2.489658001250224,9.202336766917295,299.58632005000896
2024,1,2,18,2.497572189953961,9.098425927161895,299.90288759815843
2024,1,2,21,2.4999892010284377,8.993427677748443,299.9995680411375
2024,1,3,0,2.496882331334941,8.888502039352213,299.8752932533977
2024,1,3,3,2.488285905570311,8.784808230441948,299.53143622281243
2024,1,3,6,2.4742948970476846,8.683491860234044,298.9717958819074
2024,1,3,9,2.4550638784313183,8.585672272001759,298.2025551372527
2024,1,3,12,2.430805314017772,8.492430176570558,297.2322125607109
2024,1,3,15,2.4017872124303254,8.404795712624754,296.071488497213
2024,1,3,18,2.3683301656596703,8.323737065735168,294.7332066263868
2024,1,3,21,2.3308038071635475,8.250149771844796,293.2321522865419
2024,1,4,0,2.289622728156253,8.18484682338758,291.5849091262501
2024,1,4,3,2.245241897204837,8.128549687347874,289.8096758881935
2024,1,4,6,2.19815163373631,8.081880334493087,287.9260653494524
2024,1,4,9,2.148872190988536,8.045354367840563,285.9548876395414
2024,1,4,12,2.097948008252386,8.019375326275357,283.91792033009546
2024,1,4,15,2.0459416959063685,8.00423022625258,281.83766783625475
2024,1,4,18,1.9934278196970856,8.000086390839556,279.7371127878834
2024,1,4,21,1.9409865529367751,8.00698960113055,277.639462117471
2024,1,5,0,1.8891972667484727,8.024863590457231,275.5678906699389
2024,1,5,3,1.8386321291737564,8.053510886982835,273.54528516695024
2024,1,5,6,1.7898497838601377,8.092614995371052,271.5939913544055
2024,1,5,9,1.7433891781659603,8.14174389342654,269.7355671266384
2024,1,5,12,1.6997636088699035,8.200354805076213,267.99054435479616
2024,1,5,15,1.6594550512680954,8.267800196959369,266.3782020507238
2024,1,5,18,1.6229088343109677,8.343334932376369,264.9163533724387
2024,1,5,21,1.5905287206089462,8.426124503558992,263.6211488243579
2024,1,6,0,1.5626724456630683,8.51525425131239,262.50689782652273
2024,1,6,3,1.539647765603115,8.609739470170014,261.5859106241246
2024,1,6,6,1.5217090570978433,8.708536287419749,260.8683622839137
2024,1,6,9,1.5090545070015107,8.810553195809797,260.36218028006044
2024,1,6,12,1.50182392278548,8.91466311252096,260.0729569114192
2024,1,6,15,1.5000971879452545,9.019715831177797,260.0038875178102
2024,1,6,18,1.5038933794476084,9.12455072932882,260.1557351779043
2024,1,6,21,1.5131705569682536,9.228009591003534,260.52682227873015
2024,1,7,0,1.527826226248551,9.328949402682634,261.11304904994205
2024,1,7,3,1.5476984714520923,9.426254981311544,261.9079388580837
2024,1,7,6,1.572567744010888,9.518851294842976,262.9027097604355
2024,1,7,9,1.6021592881979774,9.605715339191141,264.0863715279191
2024,1,7,12,1.6361461766287417,9.68588744038105,265.4458470651497
2024,1,7,15,1.6741529221546991,9.758481857026728,266.966116886188
2024,1,7,18,1.7157596262455774,9.822696566002183,268.6303850498231
2024,1,7,21,1.7605066180283375,9.87782212319302,270.4202647211335
2024,1,8,0,1.8078995327310508,9.923249501435125,272.31598130924203
2024,1,8,3,1.8574147734249715,9.958476819046862,274.2965909369989
2024,1,8,6,1.908505295723485,9.983114884617974,276.3402118289394
2024,1,8,9,1.9606066515285716,9.996891496796334,278.4242660611429
2024,1,8,12,2.0131432250534806,9.999654451568528,280.5257290021392
2024,1,8,15,2.065534592226027,9.99137322380982,282.62138368904107
2024,1,8,18,2.1172019332138285,9.972139304525728,284.68807732855316
2024,1,8,21,2.1675744272259,9.94216519005939,286.702977089036
2024,1,9,0,2.216095558940839,9.901782034431927,288.64382235763355
2024,1,9,3,2.26222926688818,9.851435990752769,290.4891706755272
2024,1,9,6,2.3054658658555995,9.791683282120038,292.218634634224
2024,1,9,9,2.3453276778912184,9.723184056467671,293.81310711564873
2024,1,9,12,2.381374309689687,9.646695093250953,295.2549723875875
2024,1,9,15,2.413207518057488,9.563061442546978,296.5283007222995
2024,1,9,18,2.440475609703798,9.47320708894127,297.6190243881519
2024,1,9,21,2.4628773267480173,9.378124743345944,298.5150930699207
2024,1,10,0,2.4801651750168814,9.278864875529406,299.20660700067526
2024,1,10,3,2.4921481583601217,9.17652410852618,299.6859263344049
2024,1,10,6,2.498693888775964,9.072233103145475,299.94775555103854
2024,1,10,9,2.499730049033793,8.967144066430382,299.98920196135174
2024,1,10,12,2.495245191634924,8.862418022074294,299.809807665397
2024,1,10,15,2.4852888652845726,8.759211983430971,299.41155461138294
2024,1,10,18,2.469971067477752,8.658666170830829,298.7988426991101
2024,1,10,21,2.4494610292469288,8.561891414426553,297.97844116987716
2024,1,11,0,2.423985345497555,8.469956881741423,296.9594138199022
2024,1,11,3,2.3938254715875154,8.383878265506333,295.7530188635006
2024,1,11,6,2.3593146138082925,8.304606562286363,294.3725845523317
2024,1,11,9,2.3208340481218097,8.23301756587058,292.8333619248724
2024,1,11,12,2.278808907823543,8.169902191502127,291.1523563129417
2024,1,11,15,2.2337034866698144,8.115957737846495,289.3481394667926
2024,1,11,18,2.186016109360295,8.071780183235763,287.4406443744118
2024,1,11,21,2.136273626046656,8.0378576012999,285.45094504186625
2024,1,12,0,2.08502559169201,8.01456476872922,283.4010236676804
2024,1,12,3,2.0328381945875935,8.002159024741463,281.31352778350373
2024,1,12,6,1.9802880011044466,8.000777427998063,279.21152004417786
2024,1,12,9,1.9279555857880561,8.01043524238005,277.11822343152227
2024,1,12,12,1.8764191171706868,8.031025768352682,275.0567646868275
2024,1,12,15,1.826247970165357,8.062321521781925,273.0499188066143
2024,1,12,18,1.7779964356117066,8.103976747179198,271.11985742446825
2024,1,12,21,1.7321975964707246,8.155531237608061,269.287903858829
2024,1,13,0,1.689357438324112,8.216415419050522,267.57429753296447
2024,1,13,3,1.6499492592454983,8.285956643060873,265.99797036981994
2024,1,13,6,1.6144084408032575,8.36338661818581,264.5763376321303
2024,1,13,9,1.5831276379648707,8.44784989804854,263.3251055185948
2024,1,13,12,1.5564524410447895,8.538413332320467,262.25809764179155
2024,1,13,15,1.5346775576225895,8.634076376166165,261.3871023049036
2024,1,13,18,1.5180435566135853,8.733782144262879,260.7217422645434
2024,1,13,21,1.50673421046342,8.836429087269718,260.2693684185368
2024,1,14,0,1.5008744648300578,8.940883161744937,260.0349785932023
2024,1,14,3,1.5005290581841346,9.04599035905807,260.0211623273654
2024,1,14,6,1.505701806578327,9.150589454877428,260.2280722631331
2024,1,14,9,1.5163355614875993,9.253524838376709,260.653422459504
2024,1,14,12,1.5323128411861189,9.35365927942357,261.29251364744476
2024,1,14,15,1.553457128685379,9.449886492698298,262.13828514741516
2024,1,14,18,1.5795348218939167,9.541143359934203,263.18139287575667
2024,1,14,21,1.610257814453251,9.62642167524837,264.41031257813006
2024,1,15,0,1.6452866787369766,9.704779283800411,265.8114671494791
2024,1,15,3,1.6842344158472329,9.775350490719292,267.3693766338893
2024,1,15,6,1.7266707311785812,9.837355625300383,269.06682924714323
2024,1,15,9,1.7721267883128757,9.89010965480753,270.88507153251504
2024,1,15,12,1.8201003887240765,9.933029752714825,272.8040155489631
2024,1,15,15,1.8700615200676427,9.965641737774146,274.8024608027057
2024,1,15,18,1.9214582117569963,9.987585312769669,276.85832847027984
2024,1,15,21,1.9737226331346411,9.998618045081548,278.9489053253856
2024,1,16,0,2.0262773668653575,9.998618045081548,281.0510946746143
2024,1,16,3,2.0785417882430033,9.987585312769669,283.14167152972016
2024,1,16,6,2.129938479932356,9.965641737774147,285.19753919729425
2024,1,16,9,2.179899611275923,9.933029752714825,287.1959844510369
2024,1,16,12,2.2278732116871236,9.89010965480753,289.11492846748496
2024,1,16,15,2.2733292688214175,9.837355625300384,290.9331707528567
